Model,Accuracy,F1_Score,Precision,Recall,Accuracy_Std,F1_Std,Success_Rate,Tasks_Completed
Random_Forest,0.9184210526315789,0.5233143052699839,0.5286426892334959,0.5243421052631578,0.12070889411768121,0.44135078686181056,1.0,5
KNN,0.8947368421052632,0.501233370783335,0.5037632775284402,0.5027960526315789,0.15501764710550678,0.4332133421498253,1.0,5
MLP,0.85,0.45145686927025197,0.4562522418039647,0.4686802232854864,0.2178972794156258,0.42781272532957415,1.0,5
